Planta	Vantagem	Desvantagem	Uso
Abacate (Persea americana)	Geração de renda	Crescimento lento, difícil manejo (adubação, poda, pulverização)	Barreira externa ou cerca viva em área de cultivo
Banana (Musa spp.)	Geração de renda, crescimento rápido	Hospedeiro de tripes e ferrugem 	Barreira externa ou cerca viva em área de cultivo
Café arábica (Coffea arabica)	Geração de renda, refúgio de insetos benéficos, aumento da diversidade local	Custo alto da muda 	Barreira externa ou cerca viva em área de cultivo
Cana-de-açúcar (Saccharum spp.)	Hospedeiro de insetos benéficos (vespas), alimentação animal e humana, uso em biofertilizantes (BK)	Risco de fogo, difícil manejo, atração de cigarrinha das pastagens 	Barreira externa ou cerca viva em área de cultivo
Capim-elefante (Pannisetum purpureum) cultivar Cameroon	Uso na alimentação animal	Aumenta o risco de fogo 	Barreira externa ou cerca viva em área de cultivo
Ciprestes (árvores coníferas da família   Cupressaceae)	Permeabilidade e permite monocultivo	Não hospeda muitos insetos benéficos e polinizadores, alto custo da muda e crescimento lento 	Barreira externa ou cerca viva em área de cultivo
Citrus(Citrus spp.	Geração de renda, sementes para porta enxerto e baixo custo	Atração de pulgões 	Barreira externa ou cerca viva em área de cultivo
Cravo (Syzygium aromaticum)	Geração de renda, sementes para porta enxerto e baixo custo	Atração de pulgões 	Barreira externa ou cerca viva em área de cultivo
Eucalipto (Eucalyptus spp.)	Baixo custo, crescimento rápido, aumento da biomassa e da umidade local e geração de renda	Difícil manejo e necessidade de podas 	Barreira externa ou cerca viva em área de cultivo
Gliricidia (Gliricidia sepium)	Mourão vivo, fonte de alimento para o gado, alto teor de proteína e oferece abrigo para inimigos naturais	Dificuldade em encontrar estacas 	Barreira externa ou cerca viva em área de cultivo
Hibisco (Hibiscus spp.)	Atração de polinizadores, usado como remédio, multiplicação por estaquia	Crescimento lento 	Barreira externa ou cerca viva em área de cultivo
Manga (Mangifera indica)	Geração de renda, aumento de sombra/copa e geração de renda	Crescimento lento, infestação de cochonilhas 	Barreira externa ou cerca viva em área de cultivo
Margaridão (Tithonia diversifolia)	Atração de polinizadores e inimigos naturais	Invasora agressiva 	Barreira externa ou cerca viva em área de cultivo
Sansão do campo (Mimosa caesalpiniifolia)	Proteção e produção de madeira	Possui muitos espinhos e é invasora agressiva	Barreira externa ou cerca viva em área de cultivo
Amora (Rubus spp.)	Geração de renda, chá, aumento de biomassa e pegamento fácil	Manejo intenso	Barreira interna ou cordões de contorno em áreas de cultivo
Banana (Musa spp.)	Produção de biomassa, quebra-vento, cobertura de solo e aumento da diversidade	Sombreamento 	Barreira interna ou cordões de contorno em áreas de cultivo
Café (Coffea arabica)	Geração de renda, aumento da diversidade, atração de insetos benéficos e polinizadores	Alto custo inicial e mão-de-obra 	Barreira interna ou cordões de contorno em áreas de cultivo
Cravo de defunto (Tagetes spp.)	Repelente de herbívoros e atraentes para insetos benéficos 		Barreira interna ou cordões de contorno em áreas de cultivo
Crotalária (Crotalaria spp.)	Adubo verde, atração de insetos benéficos e recurso alternativo para abelas	Tóxica para alimentação animal	Barreira interna ou cordões de contorno em áreas de cultivo
Eucalipto (Eucalyptus spp.)	Biomassa, quebra-vento, atração de polinizador	Difícil manejo e alelopatia	Barreira interna ou cordões de contorno em áreas de cultivo
Feijão guandu (Cajanus cajan)	Maior fertilidade do solo, ciclagem de nutrientes, alimentação animal e fixação de nitrogên	Difícil manejo	Barreira interna ou cordões de contorno em áreas de cultivo
Hibisco (Hibiscus spp.)	Comércio de flores		Barreira interna ou cordões de contorno em áreas de cultivo
Margaridão (Tithonia diversifolia)	  Atração de insetos benéficos	Potencial invasora e difícil manejo 	Barreira interna ou cordões de contorno em áreas de cultivo
Mentrasto (Ageratum conyzoides)	 Repelente de pragas e abrigo de insetos benéficos		Barreira interna ou cordões de contorno em áreas de cultivo
Milho (Zea mays)	Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Milheto (Pennisetum glaucum)	 Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Sorgo (Sorghum bicolor)	 Produção de biomassa e matéria orgânica e alimentação animal	Ciclo curto e hospeda a lagarta Helicoverpa spp. 	Barreira interna ou cordões de contorno em áreas de cultivo
Pitanga (Eugenia uniflora)	Atração de insetos benéficos e polinizadores, geração de renda	Manejo intenso 	Barreira interna ou cordões de contorno em áreas de cultivo
Sabugueiro (Sambucus spp.)	Refúgio de insetos benéficos e alta floração	Atração de pulgões 	Barreira interna ou cordões de contorno em áreas de cultivo
Aveia preta (Avena strigosa)	Produção de massa, produção em época fria, adequado para rotação de cultura e cobertura morta	Atração de lesmas	Condicionadoras de solo em áreas de cultivo
