id,Espécie,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
0,Abarema brachystachya,0,0,0,0,0,1,1,0,0,0,0,0
1,Abarema cochleata,1,1,1,1,1,1,1,0,0,1,1,1
2,Abarema floribunda,1,1,1,1,0,0,0,1,1,1,1,1
3,Abarema jupunba,1,1,1,1,1,1,1,0,0,0,0,0
4,Abarema piresii,1,1,1,1,1,1,0,0,0,0,0,0
5,Acanthosyris spinescens,0,0,1,1,1,0,0,0,0,0,0,0
6,Acca sellowiana,0,0,1,1,1,0,0,0,0,0,0,0
7,Achyrocline satureioides,0,0,0,1,1,1,1,1,1,1,0,0
8,Acioa edulis,0,0,0,0,0,0,1,1,1,1,1,0
9,Acrocomia aculeata,1,1,1,1,1,1,1,1,1,1,1,1
11,Adesmia bicolor,1,0,0,0,0,0,0,0,0,0,0,1
14,Aegiphila integrifolia,0,1,1,1,0,0,0,0,0,0,0,0
15,Aegiphila verticillata,1,0,0,0,0,0,0,0,0,0,1,1
16,Agarista chapadensis,1,1,1,0,0,0,0,0,0,0,0,0
17,Agonandra brasiliensis,0,0,0,0,0,0,0,0,0,1,1,1
18,Albizia niopoides,0,0,0,0,0,0,0,0,1,1,0,0
19,Albizia pedicellaris,0,0,0,0,0,0,0,0,1,1,0,0
20,Albizia polycephala,0,0,0,0,1,1,0,0,0,0,0,0
21,Alchornea glandulosa,1,0,0,0,0,0,0,0,1,1,1,1
22,Alchornea triplinervia,1,0,0,0,0,1,1,1,1,1,1,1
23,Aldama bracteata,0,0,0,1,1,0,0,0,0,0,0,0
24,Aldina heterophylla,0,0,0,1,1,0,0,0,0,0,0,0
25,Alibertia edulis,1,1,0,0,0,0,0,0,0,0,0,1
26,Alibertia sorbilis,0,0,0,0,0,0,1,1,1,1,0,0
27,Allantoma lineata,1,1,1,1,1,1,1,1,0,0,0,0
28,Allophylus edulis,0,0,0,0,0,0,0,0,0,1,1,1
30,Aloysia virgata,0,0,0,0,0,0,0,0,0,1,1,0
31,Amanoa guianensis,1,1,0,0,0,0,0,0,0,0,0,0
32,Amburana cearensis,0,0,0,0,0,0,1,1,1,1,0,0
33,Anacardium giganteum,0,0,0,0,0,0,0,0,0,1,1,0
34,Anacardium humile,0,0,0,0,0,0,0,0,1,1,1,1
35,Anacardium occidentale,1,0,0,0,0,0,0,0,1,1,1,1
36,Anadenanthera colubrina,1,1,1,1,1,1,1,1,1,1,1,1
37,Anadenanthera colubrina,0,0,0,0,1,1,1,1,1,1,1,0
38,Anadenanthera peregrina,0,0,0,0,0,1,1,1,1,1,1,0
39,Andira anthelmia,1,1,0,0,0,0,0,0,0,0,1,1
40,Andira fraxinifolia,1,1,1,0,1,1,1,0,0,0,0,0
41,Andira inermis,1,0,0,0,0,0,0,0,0,0,1,1
42,Andropogon bicornis,0,0,0,1,1,1,1,1,1,1,0,0
43,Andropogon fastigiatus,0,0,0,0,1,1,1,0,0,0,0,0
