id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
0,Abarema brachystachya,Timbuva|Olho-cabra-azul,Inga brachystachya|Abarema obovata|Pithecellobium lusorium,Abarema,Fabaceae,mata atlantica,florestal|savanica,floresta ombrofila densa|restinga arborea/arbustiva,ba|es|mg|rj|sc|sp,mata atlantica: <sp (jun-out)><pr (jul-dez)>,Os frutos devem ser colhidos diretamente da árvore quando iniciarem abertura espontânea .,3.0,ga,1.0,1.3,Sugerimos condições padrão para sementes com tolerância à dessecação: câmara seca (U.R. 20%),2.0,,0.0,recobrimento,0.0,,arvore,mata atlantica: <pr (set-jun)><sp (mar-jun)>,mata atlantica: <sp (jun-jun)><pr (jul-jul)>,medicinal,0.0,abelhas,zoocoria
1,Abarema cochleata,Saboeiro|Inga-chumbinho|Tento,Inga cochleata,Abarema,Fabaceae,amazonia,florestal|savanica,campinarana|savana|terra firme,am|ma|pa|to,all: (mai-jul),Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.,,s1,1.0,,,1.0,3.0,0.0,diversidade,1.0,s01,arvore,all: (set-out),all: (out-jul),madeireiro|ornamental,,beija-flores,zoocoria
2,Abarema floribunda,Tento,Pithecellobium floribundum|Spruce ex,Abarema,Fabaceae,amazonia,florestal,terra firme,ac|am,all: (jan-abr),Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.,,s1,1.0,,,1.0,3.0,0.0,diversidade,1.0,s01,arvore,all: (jul-out),all: (ago-abr),madeireiro|ornamental,,beija-flores,zoocoria
3,Abarema jupunba,Angelim-falso|Contas-de-nossa-senhora|Ingarana|Pau-bicho|Saboeiro|Tento-azul,Acacia jupunba,Abarema,Fabaceae,amazonia,florestal|savanica,restinga|terra firme,ac|am|ap|ba|ce|es|ma|mg|pa|pb|pe|rj|ro|rr|se,all: (jun-jul),Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.,1.0,s1,1.0,1.3,,1.0,3.0,0.0,diversidade,1.0,s01,arvore,all: (out-jan),all: (jan-jul),madeireiro|ornamental,0.0,beija-flores,zoocoria
4,Abarema piresii,Tento,,Abarema,Fabaceae,amazonia,florestal|savanica,campinarana|terra firme,am|mg|pa,all: (jan-jun),Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.,,s1,1.0,,,1.0,3.0,0.0,diversidade,1.0,s01,arvore,all: (mai-set),all: (jan-jun),madeireiro|ornamental,,beija-flores,zoocoria
5,Acanthosyris spinescens,Sombra-de-touro,Osyris spinescens,Acanthosyris,Santalaceae,pampa,florestal|savanica,floresta estacional|vegetacao savanoide,go|pr|rs,,"Os frutos devem ser colhidos diretamente da árvore, quando iniciar a queda espontânea, ou recolher do chão após a queda. Deixar amontoado em um saco plástico até o apodrecimento parcial da polpa. Lavar os frutos em água corrente.",,,,0.34,,1.0,,0.0,diversidade,0.0,,arvore,all: (out-nov),all: (mar-mai),alimenticio|latex|oleaginoso,1.0,insetos,zoocoria
6,Acca sellowiana,Goiaba-serrana,Orthostemon sellowianus|Feijoa obovata|Feijoa schenckiana|Feijoa sellowiana|Orthostemon obovatus,Acca,Myrtaceae,pampa,florestal,floresta estacional|mata ciliar,pr|rj|rs|sp,,"frutos colhidos quando se desprendem facilmente do pedúnculo, ou após cairem no chão. Reprodução assexuada: mergulhia de cepa, alporquia, enxertia, estaquia e micropropagação.",1.0,,0.0,416.0,ortodoxa,2.0,,0.0,diversidade,0.0,,arvore,all: (set-out),all: (mar-mai),alimenticio|latex|madeireiro|oleaginoso,,aves,zoocoria
7,Achyrocline satureioides,Macela,Achyrocline candicans|Achyrocline satureioides|Achyrocline vargasiana|Gnaphalium candicans|Gnaphalium satureioides,Achyrocline,Asteraceae,cerrado,campestre,campo limpo|campo rupestre,ba|es|mg|pr|rj|rs|sc|sp,cerrado: (ago-out),Coleta de infrutescências (flores secas) com foice de mão. Observe que nas inflorescências maduras há sementes dispersando (saindo naturalmente das flores secas com o vento). Passe as inflorescências em peneira fina para separar as sementes. É possível usar ensiladeira.,0.0,,,2000.0,,,,,recobrimento,,,arbusto,cerrado: (mar-jun),cerrado: (abr-out),,0.0,abelhas,autocoria
8,Acioa edulis,Castanha-de-cutia,Couepia edulis,Acioa,Chrysobalanaceae,amazonia,florestal,mata ciliar|terra firme,am,all: (jul-nov),Colher os frutos no chão quando iniciarem a queda espontânea. Abrir os frutos manualmente com facão ou ferramenta específica para retirada da castanha.,,s1,,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,2.0,diversidade,,s01,arvore,all: (jan-mar),all: (jul-nov),alimenticio,0.0,mariposas|morcegos,zoocoria
9,Acrocomia aculeata,Bocaiuva|Macaúba|Coco-babão|Coco-babosa|Coco-macaúba|Coqueiro-de-espinho|Macajuba|Macaibeira|Palmeira-macaúva|Coquinho,Cocos aculeata,Acrocomia,Arecaceae,amazonia|cerrado|pantanal,campestre|florestal|savanica,campo nao inundavel|cerrado tipico|cerradao|chaco|mata ciliar|mata riparia|mata seca|mata seca (decidua)|mata semidecidua|mata de galeria|palmeiral|savana|terra firme,ba,cerrado: (ago-fev); pantanal: (ago-dez); amazonia: (set-jan),"Colher frutos maduros e deixar secar até perceber que a semente esta solta no caroço. Despolpar e  semear. Em condições naturais, as sementes podem levar de um a dois anos para germinar. No entanto, quando submetidas a escarificação e acondicionadas a temperatura superior a 35ºC podem germinar entre quatro e seis meses. A Universidade Federal de Viçosa desenvolveu uma técnica que possibilita taxa de germinação de 60 - 80%.",1.0,t3,1.0,0.085,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,diversidade,0.0,p3,palmeira,cerrado: (jul-fev); pantanal: (out-fev); amazonia: (jul-jan),cerrado: (out-dez); pantanal: (jan-dez); amazonia: (set-jan),alimenticio|artesanal|celulose|forrageiro|fibra|madeireiro|medicinal|melifero|oleaginoso|ornamental|goma/espessante,0.0,abelhas|besouros,zoocoria
10,Actinocladum verticillatum,Bambuzinho,Arundinaria verticillata|Ludolfia verticillata|Rhipidocladum verticillatum,Actinocladum,Poaceae,cerrado,florestal,mata ciliar|mata de galeria,am|ba|df|go|mg|ms|mt|pa|sp,,Colher as inflorescências manualmente quando estiverem secas. Passar em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,,,,,,,,2.0,recobrimento,,nenhum,erva,all: (out-dez),,forrageiro,1.0,vento,zoocoria
11,Adesmia bicolor,,,Adesmia,Fabaceae,pampa,campestre|savanica,campo seco|campo umido|vegetacao savanoide,rs,all: (dez-jan),"Possui dormência, recomenda-se escarificação com lixa fina na região oposta a micrópila.",4.0,,,,,,,,,,,erva,all: (out-out),all: (dez-jan),forrageiro,,,
12,Adesmia latifolia,,,Adesmia,Fabaceae,pampa,campestre,campo seco|campo umido,rs|sc,all: (nov-dez),,,,,,,,,,,,,erva,all: (out-abr),,forrageiro,,abelhas|abelhas,
13,Adesmia securigerifolia,,,Adesmia,Fabaceae,pampa,campestre,campo seco|campo umido,rs,all: (set-dez),"Possui dormência, recomenda-se escarificação com lixa fina na região oposta a micrópila.",3.0,,,,,,,,,,,erva,,,forrageiro,,formigas|moscas|abelhas|mariposas,
14,Aegiphila integrifolia,Tamanqueiro|Minura|Papagaio|Pau-de-tamanco,Aegiphila sellowiana|Callicarpa integrifolia|Aegiphila amazonica|Aegiphila arborea|Spruce ex|Aegiphila arborescens|Aegiphila arborescens|Aegiphila conturbata|Aegiphila dentata|Aegiphila guianensis|Aegiphila intermedia|Aegiphila minasensis|Aegiphila orbignyana|Aegiphila parviflora|Aegiphila salticola|Aegiphila villosa|Callicarpa discolor|Callicarpa globiflora,Aegiphila,Lamiaceae,cerrado,florestal,mata ciliar|mata de galeria,mg|rj|sp,cerrado: (fev-jun),Colher os frutos diretamente da árvore quando maduros. Os frutos assim obtidos podem ser diretamente utilizados para o plantio como se fossem sementes; não havendo necessidade de despolpá-los.,3.0,t3,1.0,32.0,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,2.0,diversidade,1.0,p3,arvore,cerrado: (dez-jan),cerrado: (fev-abr),madeireiro|melifero,1.0,abelhas,zoocoria
15,Aegiphila verticillata,Fruta-de-papagaio|Milho-de-grilo|Tamanqueiro-do-cerrado|Papagaio,Aegiphila lhotzkiana|Aegiphila crenata|Aegiphila lanata|Aegiphila paraguariensis|Aegiphila rotundifolia|Sellow ex|Aegiphila splendens|Aegiphila tomentosa|Aegiphila vestita,Aegiphila,Lamiaceae,caatinga|cerrado,campestre|florestal|savanica,caatinga arborea|campo sujo|cerrado|cerrado tipico|cerradao|mata ciliar|mata de galeria|parque de cerrado,am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pr|rj|ro|sc|se|sp|to,cerrado: (jan-jun),Colher os frutos diretamente da árvore quando adquirirem a coloração vermelha. Em seguida deixá-los amontoados em saco plástico até a decomposição parcial da polpa para facilitar a remoção das sementes através da lavagem em água corrente.,2.0,t1,0.0,18.3,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,0.0,diversidade,0.0,p2,arvore,cerrado: (set-dez),cerrado: (nov-jan),cortica|forrageiro|oleaginoso,1.0,abelhas,zoocoria
16,Agarista chapadensis,Criúva|Criúva-do-campo,Leucothoe chapadensis,Agarista,Ericaceae,cerrado,campestre|savanica,campo rupestre|campo sujo|cerrado rupestre|cerrado tipico|vereda,ba|go|mg,cerrado: (mar-abr),"Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea,  deixando secar à sombra sobre lona até completar a abertura e liberação das minúsculas sementes.",,t1,,600.0,,1.0,3.0,0.0,diversidade,,p2,arvore,cerrado: (jun-ago),cerrado: (jan-mar),cortica|ornamental,0.0,beija-flores,anemocoria
17,Agonandra brasiliensis,Tinge-cuia|Quinze-cuia|Marfim-de-veado|Marfim-verde|Pau-marfim|Pau-marfim-do-campo|Marfim|Pau-marfim-da-mata|Cerveja-de-pobre|Cervejinha|Amoreira|Amora-do-mato|Pau-d’alho-do-cerrado,Agonandra lacera|Agonandra macedoi,Agonandra,Opiliaceae,cerrado|pantanal,florestal|savanica,cerrado tipico|cerradao|chaco|mata ciliar|mata seca|mata seca (decidua)|mata semidecidua|mata de galeria,ac|al|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|rn|ro|rr|sp|to,cerrado: (nov-dez); pantanal: (nov-dez),Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida deixá-los amontoados em saco plástico até a decomposiçãoparcial da polpa para facilitar a remoção da semente através da lavagem em água corrente dentro de uma peneira.,3.0,t3,0.0,0.415,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,2.0,diversidade,0.0,p2,arvore,cerrado: (jun-out); pantanal: (jun-out),cerrado: (out-nov); pantanal: (out-dez),alimenticio|cortica|madeireiro|medicinal|melifero,1.0,moscas,zoocoria
18,Albizia niopoides,Angico-branco|Farinha-seca|Mulateira|Frango-assado|Canela-de-corvo|Coxa-de-frango|Farinha-seca-de-mico|Manga-do-mato|Pé-de-frango,Pithecellobium niopoides|Spruce ex,Albizia,Fabaceae,cerrado|pantanal,florestal|savanica,cerradao|chaco|mata riparia|mata seca|mata seca (decidua)|mata semidecidua|mata de galeria,am|ba|es|go|ma|mg|ms|mt|pa|pe|pr|rs|sc|sp,cerrado: (set-out); pantanal: (set-out),"As vagens maduras devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar, o que facilita a abertura dos frutos e a liberação das sementes.",2.0,t3,2.0,36.0,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,diversidade,2.0,p3,arvoreta,cerrado: (out-jan); pantanal: (out-jan),cerrado: (set-out); pantanal: (set-out),madeireiro|ornamental,1.0,abelhas|beija-flores,autocoria
19,Albizia pedicellaris,Balizia|Jaguarana|Ingarana|Escorrega-macaco,Pithecellobium pedicellare|Inga pedicellaris|Balizia pedicellaris,Albizia,Fabaceae,amazonia,florestal|savanica,restinga|terra firme,ac|al|am|ap|ba|df|es|ma|mg|ms|mt|pa|pe|pr|rj|rn|ro|to,all: (set-out),"As vagens maduras devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar, o que facilita a abertura dos frutos e a liberação das sementes.",3.0,s1,1.0,35.0,Tempo indeterminado em câmara fria.,1.0,1.0,0.0,diversidade,1.0,s01,arvore,all: (dez-fev),all: (set-out),madeireiro,0.0,beija-flores,autocoria
20,Albizia polycephala,Monjolo-alho|Angico|Angico-branco|Farinha-seca|Camunzé,Pithecolobium polycephalum,Albizia,Fabaceae,mata atlantica,florestal,floresta estacional semidecidual|floresta ombrofila densa|floresta ombrofila mista,al|ba|ce|es|go|mg|ms|pb|pe|pi|pr|rj|rn|rs|sc|se|sp,mata atlantica: (mai-jun),Deixar os frutos secarem ao sol para completarem a abertura e liberação das sementes.,1.0,ga,1.0,25.6,Após a secagem armazenar a 5°C,1.0,,0.0,recobrimento,0.0,,arvore,mata atlantica: (nov-dez),mata atlantica: (mai-jun),alimenticio,1.0,abelhas|beija-flores,autocoria
