id,Espécie,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
0,Abarema brachystachya,0,0,0,0,0,1,1,1,1,1,1,1
1,Abarema cochleata,0,0,0,0,1,1,1,0,0,0,0,0
2,Abarema floribunda,1,1,1,1,0,0,0,0,0,0,0,0
3,Abarema jupunba,0,0,0,0,0,1,1,0,0,0,0,0
4,Abarema piresii,1,1,1,1,1,1,0,0,0,0,0,0
7,Achyrocline satureioides,0,0,0,0,0,0,0,1,1,1,0,0
8,Acioa edulis,0,0,0,0,0,0,1,1,1,1,1,0
9,Acrocomia aculeata,1,1,0,0,0,0,0,1,1,1,1,1
11,Adesmia bicolor,1,0,0,0,0,0,0,0,0,0,0,1
12,Adesmia latifolia,0,0,0,0,0,0,0,0,0,0,1,1
13,Adesmia securigerifolia,0,0,0,0,0,0,0,0,1,1,1,1
14,Aegiphila integrifolia,0,1,1,1,1,1,0,0,0,0,0,0
15,Aegiphila verticillata,1,1,1,1,1,1,0,0,0,0,0,0
16,Agarista chapadensis,0,0,1,1,0,0,0,0,0,0,0,0
17,Agonandra brasiliensis,0,0,0,0,0,0,0,0,0,0,1,1
18,Albizia niopoides,0,0,0,0,0,0,0,0,1,1,0,0
19,Albizia pedicellaris,0,0,0,0,0,0,0,0,1,1,0,0
20,Albizia polycephala,0,0,0,0,1,1,0,0,0,0,0,0
21,Alchornea glandulosa,1,0,0,0,0,0,0,0,1,1,1,1
22,Alchornea triplinervia,1,0,0,0,0,0,0,0,1,1,1,1
23,Aldama bracteata,0,0,0,1,1,0,0,0,0,0,0,0
24,Aldina heterophylla,0,0,0,1,1,0,0,0,0,0,0,0
25,Alibertia edulis,1,0,0,0,0,0,0,0,0,0,0,1
26,Alibertia sorbilis,0,0,0,0,0,0,1,1,1,1,0,0
27,Allantoma lineata,0,0,0,0,1,1,1,1,0,0,0,0
28,Allophylus edulis,1,1,1,0,0,0,0,0,0,1,1,1
30,Aloysia virgata,0,0,0,0,0,0,0,0,0,1,1,0
31,Amanoa guianensis,1,1,0,0,0,0,0,0,0,0,0,0
32,Amburana cearensis,0,0,0,0,0,0,0,1,1,1,0,0
33,Anacardium giganteum,0,0,0,1,1,1,1,1,1,0,0,0
34,Anacardium humile,0,0,0,0,0,0,0,0,0,1,1,1
35,Anacardium occidentale,1,0,0,0,0,0,0,0,1,1,1,1
36,Anadenanthera colubrina,0,0,0,0,0,0,1,1,1,1,1,0
37,Anadenanthera colubrina,0,0,0,0,1,1,1,1,1,1,0,0
38,Anadenanthera peregrina,0,0,0,0,0,0,0,1,1,1,1,0
39,Andira anthelmia,0,1,1,0,0,0,0,0,0,0,0,0
40,Andira fraxinifolia,0,1,1,1,0,0,0,0,0,0,0,0
41,Andira inermis,1,0,0,0,0,0,0,0,0,0,1,1
42,Andropogon bicornis,0,0,0,1,1,1,1,1,1,1,0,0
43,Andropogon fastigiatus,0,0,0,0,1,1,1,0,0,0,0,0
44,Andropogon lateralis,0,0,0,1,0,0,0,0,0,0,0,0
45,Andropogon leucostachyus,0,0,0,0,1,1,1,0,0,0,0,0
46,Andropogon selloanus,1,1,1,1,0,0,0,0,0,0,0,0
47,Andropogon virgatus,1,1,1,0,0,0,0,1,1,1,1,1
48,Aniba rosiodora,1,1,1,1,1,0,0,0,1,1,1,1
49,Anisocapparis speciosa,1,1,0,0,0,0,0,0,0,0,1,1
50,Annona cacans,1,1,1,0,0,0,0,0,0,0,0,0
51,Annona coriacea,0,0,0,0,0,0,0,0,0,0,1,1
52,Annona crassiflora,1,1,1,0,0,0,0,0,0,0,0,0
53,Annona emarginata,1,1,1,1,0,0,0,0,0,0,0,0
54,Annona montana,0,1,1,1,1,1,1,1,0,0,0,0
55,Annona mucosa,1,1,1,1,0,0,0,0,0,0,0,1
57,Annona neosericea,0,1,1,1,0,0,0,0,0,0,0,0
59,Annona sylvatica,1,1,1,1,0,0,0,0,0,0,0,0
60,Antrocaryon amazonicum,1,1,0,0,0,0,0,0,0,0,0,1
61,Apeiba echinata,0,0,0,0,0,0,0,0,1,1,1,0
62,Apeiba tibourbou,1,0,0,0,0,0,0,0,0,1,1,1
63,Apuleia leiocarpa,1,1,1,1,0,0,1,1,1,1,0,1
64,Arachis burkartii,0,0,0,1,0,0,0,0,0,0,0,0
65,Arachis pintoi,1,1,1,1,1,1,1,1,1,1,1,1
67,Aristida gibbosa,0,0,0,0,1,1,0,0,0,0,0,0
68,Aristida recurvata,0,0,0,1,1,1,1,0,0,0,0,0
69,Aristida riparia,0,0,0,0,0,1,0,0,0,0,0,0
70,Aristida setifolia,1,1,1,1,0,0,0,0,0,0,0,0
71,Aristida torta,0,0,1,0,0,0,0,0,0,0,0,0
72,Aspidosperma australe,0,0,0,0,0,0,1,1,0,0,0,0
73,Aspidosperma cylindrocarpon,0,0,0,0,0,0,0,1,1,0,0,0
74,Aspidosperma desmanthum,1,1,1,1,0,0,0,0,1,1,1,1
75,Aspidosperma discolor,0,0,0,0,0,0,0,1,1,0,0,0
76,Aspidosperma macrocarpon,0,0,0,0,0,0,0,1,1,0,0,0
77,Aspidosperma oblongum,0,0,0,0,0,0,0,0,0,0,1,1
78,Aspidosperma olivaceum,0,0,0,0,0,0,0,1,1,0,0,0
79,Aspidosperma parvifolium,0,0,0,0,0,0,1,1,1,1,1,0
80,Aspidosperma polyneuron,0,0,0,0,0,0,0,1,1,1,0,0
81,Aspidosperma pyrifolium,1,0,0,0,0,0,0,1,1,1,1,1
82,Aspidosperma quebracho,0,0,0,0,0,0,0,0,0,1,1,0
83,Aspidosperma spruceanum,1,0,0,0,0,0,0,0,1,1,0,1
84,Aspidosperma subincanum,0,0,0,0,0,0,0,1,1,1,1,0
85,Aspidosperma tomentosum,0,0,0,0,1,1,0,1,1,1,0,0
86,Aspilia foliacea,0,0,0,1,1,1,0,0,0,0,0,0
87,Astrocaryum aculeatum,1,1,1,1,1,1,1,1,1,1,1,1
88,Astrocaryum murumuru,0,0,0,0,0,1,1,1,1,1,1,0
89,Astrocaryum vulgare,1,1,1,0,0,0,0,0,0,0,0,0
90,Astronium fraxinifolium,0,0,0,0,0,0,0,0,1,1,1,0
91,Astronium graveolens,0,0,0,0,0,0,0,0,0,1,1,0
92,Astronium lecointei,0,1,1,1,1,1,1,0,0,0,0,0
93,Attalea maripa,1,1,1,1,1,0,0,0,0,0,1,1
94,Attalea phalerata,1,1,1,0,1,1,1,1,1,1,1,1
95,Attalea speciosa,1,0,0,0,0,0,0,1,1,1,1,1
96,Axonopus argentinus,0,0,1,0,0,0,0,0,0,0,0,0
97,Axonopus aureus,0,0,0,0,1,0,0,0,0,0,0,0
98,Axonopus brasiliensis,1,1,1,1,1,1,0,0,0,0,0,0
99,Axonopus capillaris,1,1,0,0,0,0,0,0,0,0,0,1
102,Axonopus marginatus,0,0,0,1,1,0,0,0,0,0,0,0
104,Axonopus pellitus,0,1,0,0,0,0,0,0,0,0,0,0
105,Axonopus pressus,0,0,0,0,1,1,0,0,0,0,0,0
107,Axonopus siccus,1,1,0,0,0,1,1,1,1,1,1,1
108,Axonopus suffultus,0,0,0,0,0,0,0,0,0,0,1,0
109,Baccharis dracunculifolia,1,1,1,1,1,1,1,0,0,0,0,0
110,Baccharis humilis,1,1,1,1,1,1,0,0,0,0,1,1
111,Bactris gasipaes,0,0,1,1,1,1,1,1,1,1,1,1
112,Bagassa guianensis,0,1,1,1,1,1,1,1,1,1,0,0
113,Banara guianensis,0,0,1,1,1,0,0,0,0,0,0,0
114,Bauhinia cheilantha,0,1,1,1,1,0,0,0,0,0,0,0
115,Bauhinia dumosa,0,0,0,0,0,0,0,0,0,1,0,0
116,Bauhinia forficata,0,0,0,0,0,0,1,1,0,0,0,0
117,Bauhinia rufa,1,1,1,0,0,0,0,0,0,0,1,1
118,Bellucia dichotoma,1,1,1,0,0,0,0,0,0,0,0,0
119,Bertholletia excelsa,1,1,1,0,0,0,0,0,0,0,0,0
120,Bidens gardneri,1,1,1,1,1,1,1,1,1,1,1,1
121,Bixa orellana,0,1,1,1,1,1,0,0,0,0,0,0
122,Blepharocalyx salicifolius,1,1,1,1,0,0,0,0,0,0,0,1
123,Bowdichia nitida,0,0,0,0,0,1,1,1,0,0,0,0
124,Bowdichia virgilioides,0,0,0,0,0,0,1,1,1,1,0,0
125,Bromelia balansae,0,0,0,1,1,0,0,0,0,0,0,0
126,Bromus auleticus,0,0,0,0,0,0,0,0,0,0,0,1
128,Brosimum gaudichaudii,1,0,0,0,0,0,0,0,1,1,1,1
129,Brosimum guianense,0,0,0,0,0,0,0,0,0,0,1,1
130,Brosimum parinarioides,1,0,0,0,0,0,0,0,1,1,1,1
131,Brosimum rubescens,0,1,1,1,0,0,0,0,0,0,0,0
132,Buchenavia grandis,1,1,1,1,1,0,0,0,0,1,1,1
133,Buchenavia tomentosa,0,0,1,1,1,0,0,1,1,1,0,0
134,Butia leiospatha,0,0,0,0,0,0,0,0,0,1,1,1
137,Byrsonima basiloba,0,0,0,0,0,1,1,1,1,0,0,0
138,Byrsonima coccolobifolia,1,1,1,0,0,0,0,0,0,0,0,0
139,Byrsonima crassifolia,1,1,1,1,1,0,1,1,1,0,0,0
140,Byrsonima densa,1,1,0,0,0,0,0,0,0,0,0,1
141,Byrsonima intermedia,1,1,1,1,1,1,0,0,0,1,1,1
142,Byrsonima sericea,0,0,1,1,0,0,0,0,0,0,0,0
143,Byrsonima verbascifolia,1,1,0,0,0,0,0,0,0,0,0,1
144,Cabralea canjerana,0,0,0,0,0,0,0,1,1,1,1,0
145,Calea gardneriana,1,0,0,0,0,0,0,0,1,1,1,1
147,Calliandra dysantha,0,0,0,0,0,0,0,1,1,1,0,0
148,Callisthene fasciculata,0,0,0,0,0,0,1,1,0,1,1,0
149,Callisthene major,0,0,0,0,0,1,1,0,0,0,0,0
150,Calophyllum brasiliense,0,0,0,1,1,1,1,1,0,1,1,0
151,Calycophyllum multiflorum,0,0,0,0,0,0,0,0,1,0,0,0
152,Calycophyllum spruceanum,0,0,0,0,0,1,1,1,0,0,0,0
153,Campomanesia adamantium,1,0,0,0,0,0,0,0,0,0,0,1
154,Campomanesia guazumifolia,0,0,1,1,1,0,0,0,0,0,0,0
155,Campomanesia velutina,0,0,0,0,0,0,0,0,0,0,1,1
156,Campomanesia xanthocarpa,0,0,0,0,0,0,0,0,0,0,1,1
157,Carapa guianensis,0,1,1,0,0,1,1,0,0,0,0,0
158,Cardiopetalum calophyllum,0,0,1,1,0,0,0,0,0,0,0,0
159,Cariniana estrellensis,0,0,0,0,0,0,1,1,1,0,0,0
160,Cariniana legalis,0,0,0,0,0,0,0,1,1,0,0,0
161,Cariniana rubra,0,0,0,0,0,0,0,0,1,1,0,0
162,Caryocar brasiliense,1,1,0,0,0,0,0,0,0,0,0,1
163,Caryocar coriaceum,1,0,0,0,0,0,0,0,0,0,1,1
164,Caryocar glabrum,1,1,1,0,0,0,0,0,0,0,0,0
165,Caryocar microcarpum,0,1,1,1,1,1,0,0,0,0,0,0
166,Caryocar villosum,1,1,1,1,1,0,0,0,0,0,1,1
168,Casearia rupestris,0,0,0,0,0,0,0,0,1,1,0,0
169,Casearia sylvestris,1,1,1,0,0,1,1,1,1,1,1,1
170,Cassia ferruginea,0,0,0,0,0,0,0,1,1,1,1,0
171,Cassia grandis,1,0,0,0,0,0,0,0,0,0,1,1
172,Cassia leiandra,0,0,0,0,0,0,1,1,0,0,0,0
