Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Abarema brachystachya(DC.) Barneby & J.W.Grimes	Timbuva, Olho-cabra-azul	Inga brachystachya DC., Abarema obovata (Benth.) Barneby & J.W.Grimes, Pithecellobium lusorium (Vell.) Benth.	Fabaceae	Mata Atlântica	Florestal, Savânica	Floresta Ombrófila Densa, Restinga Arbórea/Arbustiva	BA, ES, MG, RJ, SC, SP	Mata Atlântica - Jun - Out (SP); Jul -Dez (PR)	Os frutos devem ser colhidos diretamente da árvore quando iniciarem abertura espontânea .	50 a 80% (boa)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	1300	Sugerimos condições padrão para sementes com tolerância à dessecação: câmara seca (U.R. 20%)	Direta em recipientes individuais		NÃO (Pioneira típica)	Recobrimento	Lento (até 30 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - Set - jun(PR); Mar - jun (SP)	Mata Atlântica - jun (SP), jul (PR).	Medicinal	NÃO	Abelhas	Zoocoria (Fauna)
Abarema cochleata(Willd.) Barneby & J.W.Grimes	Saboeiro, Inga-chumbinho, Tento	Inga cochleata Willd	Fabaceae	Amazônia	Florestal, Savânica	Campinarana, Savana, Terra Firme	AM, MA, PA, TO	mai-jul	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)			Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	set-out	out-jul	Madeireiro, Ornamental		Beija-flores	Zoocoria (Fauna)
Abarema floribunda(Spruce ex Benth.) Barneby & J.W.Grimes	Tento	Pithecellobium floribundum Spruce ex Benth	Fabaceae	Amazônia	Florestal	Terra Firme	AC, AM	jan-abr	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)			Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	jul-out	ago-abr	Madeireiro, Ornamental		Beija-flores	Zoocoria (Fauna)
Abarema jupunba(Willd.) Britton & Killip.	Angelim-falso, Contas-de-nossa-senhora, Ingarana, Pau-bicho, Saboeiro, Tento-azul	Acacia jupunba Willdenow	Fabaceae	Amazônia	Florestal, Savânica	Restinga, Terra Firme	AC, AM, AP, BA, CE, ES, MA, MG, PA, PB, PE, RJ, RO, RR, SE	jun-jul	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	1300		Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	out-jan	jan-jul	Madeireiro, Ornamental	NÃO	Beija-flores	Zoocoria (Fauna)
Abarema piresiiBarneby & J.W.Grimes	Tento		Fabaceae	Amazônia	Florestal, Savânica	Campinarana, Terra Firme	AM, MG, PA	jan-jun	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida devem ser deixados em local arejado para completar a abertura e a liberação de sementes.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)			Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	mai-set	jan-jun	Madeireiro, Ornamental		Beija-flores	Zoocoria (Fauna)
Acanthosyris spinescens(Mart. & Eichler) Griseb.	Sombra-de-touro	Osyris spinescens Mart. & Eichler	Santalaceae	Pampa	Florestal, Savânica	Floresta Estacional, Vegetaçao Savanóide	GO, PR, RS		Os frutos devem ser colhidos diretamente da árvore, quando iniciar a queda espontânea, ou recolher do chão após a queda. Deixar amontoado em um saco plástico até o apodrecimento parcial da polpa. Lavar os frutos em água corrente.		"




																
								[Saiba mais]
								
								



"		340		Indireta em sementeira		NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)		Árvore (> 3 metros)	out-nov	mar-mai	Alimentício, Latex, Oleaginoso	SIM	insetos	Zoocoria (fauna)
Acca sellowiana(O.Berg) Burret	Goiaba-serrana	Orthostemon sellowianus O.Berg, Feijoa obovata (O.Berg) O.Berg, Feijoa schenckiana Kiaersk., Feijoa sellowiana (O.Berg) O.Berg, Orthostemon obovatus O.Berg	Myrtaceae	Pampa	Florestal	Floresta Estacional, Mata Ciliar	PR, RJ, RS, SP		frutos colhidos quando se desprendem facilmente do pedúnculo, ou após cairem no chão. Reprodução assexuada: mergulhia de cepa, alporquia, enxertia, estaquia e micropropagação.	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"	lento (até 30 cm/ano)	416000	ortodoxa	Direta em recipientes individuais		NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)		Árvore (> 3 metros)	set-out	mar-mai	Alimentício, Latex, Madeireiro, Oleaginoso		aves	Zoocoria (fauna)
Achyrocline satureioides(Lam.) DC.	Macela	Achyrocline candicans (Kunth) DC., Achyrocline satureioides var. vargasiana (DC.) Baker, Achyrocline vargasiana DC., Gnaphalium candicans Kunth, Gnaphalium satureioides Lam.	Asteraceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre	BA, ES, MG, PR, RJ, RS, SC, SP	Cerrado - ago-out	Coleta de infrutescências (flores secas) com foice de mão. Observe que nas inflorescências maduras há sementes dispersando (saindo naturalmente das flores secas com o vento). Passe as inflorescências em peneira fina para separar as sementes. É possível usar ensiladeira.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"		2000000					Recobrimento			Arbusto	Cerrado - mar-jun	Cerrado - abr-out		NÃO	Abelhas	Autocoria
Acioa edulisPrance	Castanha-de-cutia	Couepia edulis (Prance) Prance	Chrysobalanaceae	Amazônia	Florestal	Mata Ciliar, Terra Firme	AM	jul-nov	Colher os frutos no chão quando iniciarem a queda espontânea. Abrir os frutos manualmente com facão ou ferramenta específica para retirada da castanha.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"			Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	jan-mar	jul-nov	Alimentício	NÃO	mariposas, morcegos	Zoocoria (Fauna)
Acrocomia aculeata(Jacq) Lodd. ex Mart.	Bocaiuva, Macaúba, Coco-babão, Coco-babosa, Coco-macaúba, Coqueiro-de-espinho, Macajuba, Macaibeira, Palmeira-macaúva, Coquinho	Cocos aculeata Jacq.	Arecaceae	Amazônia, Cerrado, Pantanal	Campestre, Florestal, Savânica	Campo não Inundável, Cerrado Típico, Cerradão, Chaco, Mata Ciliar, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria, Palmeiral, Savana, Terra Firme	BA	Cerrado - ago-fev ; Pantanal -  ago-dez; Amazônia - set-jan	Colher frutos maduros e deixar secar até perceber que a semente esta solta no caroço. Despolpar e  semear. Em condições naturais, as sementes podem levar de um a dois anos para germinar. No entanto, quando submetidas a escarificação e acondicionadas a temperatura superior a 35ºC podem germinar entre quatro e seis meses. A Universidade Federal de Viçosa desenvolveu uma técnica que possibilita taxa de germinação de 60 - 80%.	10 a 19% (baixa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	85	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Palmeira	Cerrado - jul-fev ; Pantanal -  out-fev; Amazônia - jul-jan	Cerrado - out-dez ; Pantanal -  jan-dez; Amazônia - set-jan	Alimentício, Artesanal, Celulose, Forrageiro, Fibra, Madeireiro, Medicinal, Melífero, Oleaginoso, Ornamental, Goma/espessante	NÃO	Abelhas, besouros	Zoocoria (Fauna)
